Sample_ID,Sample_Stratum,DDB_ID,Title,Place,Date_NotBefore,Date_NotAfter,Grain_Form,Context_Window,Has_Money_Cue,Has_Unit_Cue,Has_Number,Human_Label,Human_Commodity,Human_Qty,Human_Unit,Human_Price,Human_Currency,Human_Notes,RB_Grain_Form,RB_Qty_Value,RB_Qty_Unit,RB_Price_Value,RB_Price_Cur,RB_Score,RB_Priceword_Near,RB_Context_Type,RB_Signal_Type,RB_Signal_Strength,RB_Neg_Signals,LLM_Is_Price,LLM_Confidence,LLM_Commodity,LLM_Qty,LLM_Unit,LLM_Price,LLM_Currency,LLM_Reasoning
1,A_money,p.oxy;24;2421,Account of Wheat,Oxyrhynchites (?),0312,0323,κριθ,ραπίων ἰατρὸς κριθ ῆς ἀρτάβη 1 1/6 δηνάρια 765 . | Ξ ε νικὸς Τροίλου σίτ ου ἀρτάβης 1/12 δηνάρια 82 κριθ ῆς ἀρτάβη 1 1/2 1/3 δηνάρια 1200 . | Θε ρ μούτιον καὶ Σύρα καὶ Μάζα ς σίτ ου ἀρτάβης 1/3 1/24 δηνάρ,True,True,True,ME,,,,,,,κριθ,3.166667,αρταβαι,0.166667,ταλαντον,33.98,no,PRICE,priceword_ext,0.6,,True,high,κριθ,3.167,artaba,2050.0,denarius,"The entry for Pnephis son of Diodorus directly links 3 1/6 artabas of barley to a payment of 1 talent and 550 denarii (equivalent to 2050 denarii), indicating a clear price."
2,A_money,p.petr;3;109,Military Taxes,Arsinoites,-0248-11-01,,πυρου,38 ἔτους χωματι κὸν δραχμὰς 16 | ἁλικῆς δραχμὰς 11 | φυλακ ιτικὸν πυροῦ 3 | γίνονται δραχμαὶ 177 5 πυροῦ 9 | ε ἰς τοῦτο πέπτωκεν | ἔτους 36 Φαμενὼθ χω ματικὸν εἰς τὸ 36 ἔτος δραχμὰς 13 | | Ἁ θὺρ 16 εἰς τὸ,True,False,True,FP,,,,,,,πυρου,,,18,δραχμαι,25.05,no,OTHER,,0.0,,True,high,πυρου,15.0,artaba,150.67,drachma,"The phrase 'δραχμαὶ 150 4 κριθῆς ἀρτάβας 15' explicitly links 15 artabas of barley to 150 drachmas and 4 obols (150 + 4/6 drachmas), indicating a price."
3,A_money,p.sarap;;79e,Comptes de dépenses au titre de l’impôt,Hermopolites,0127,0128,πυρου,ον 1/2 | πηχ ισμοῦ 15 4 | εἰ δῶν 1 2 | ὑ π ὲρ Κονν α ρ Ἀπολ λωνίου 5 5 1/2 | Περι π όλιν ἄνω τι μῆς πυροῦ ὑ π ὲρ Σοή ρεως | Ἀπολ λωνίου ἀρτάβαι 2 1/4 δραχμαὶ 18 | γίνονται δραχμαὶ 44 ||| | δραχμαὶ 44 δραχμ,True,True,True,TP,,,,,,,πυρου,2,αρταβων,16,δραχμαι,32.88,no,OTHER,,0.0,,True,high,πυρου,10.0,artaba,80.0,drachma,The phrase 'τιμῆς πυροῦ' explicitly indicates a valuation of wheat. The entry 'ὑπὲρ Σοήρεως Ἀπολλωνίου ἀρτάβαι 10 δραχμαὶ 80' clearly links 10 artabas of wheat to 80 drachmas.
4,A_money,p.sarap;;79e,Comptes de dépenses au titre de l’impôt,Hermopolites,0127,0128,πυρου,εχ εὶρ 15 δραχμαὶ 124 | Περὶ π όλιν κ ά τ ω πυροῦ ὑ π ὲρ Σαρα π ίωνος ἀρτάβαι 10 1/2 δραχμαὶ 84 | 5 πυροῦ 2 1/2 δραχμαὶ 20 | Πατ εμί τ ης κ ά τ ω ἀρτάβαι 2 1/2 δραχμαὶ 20 | γίνονται δραχμαὶ 124 | Φαμε νὼθ,True,True,True,TP,,,,,,,πυρου,2,αρταβων,16,δραχμαι,32.88,no,OTHER,,0.0,,True,high,πυρου,10.0,artaba,80.0,drachma,The phrase 'τιμῆς πυροῦ' explicitly indicates a valuation of wheat. The entry 'ὑπὲρ Σοήρεως Ἀπολλωνίου ἀρτάβαι 10 δραχμαὶ 80' clearly links 10 artabas of wheat to 80 drachmas.
5,A_money,p.petr;3;109,Military Taxes,Arsinoites,-0248-11-01,,πυρου,ραχμαὶ 76 1 πυροῦ 8 1/2 ||| | Φ αῖδρος Λεπτίν ου | τοῦ 36 ἔτους χω ματικὸν | ἁ λικῆς | φυ λακιτικὸν πυροῦ 3 | γίνονται δραχμαὶ 23 2 πυροῦ 3 | τοῦ 37 ἔτους χωματι κὸν | ἁλικῆς δραχμὰς | ἐ ν νόμιον σὺν φυ λα,True,False,True,FP,,,,,,,πυρου,,,18,δραχμαι,25.05,no,OTHER,,0.0,,True,high,πυρου,15.0,artaba,150.67,drachma,"The phrase 'δραχμαὶ 150 4 κριθῆς ἀρτάβας 15' explicitly links 15 artabas of barley to 150 drachmas and 4 obols (150 + 4/6 drachmas), indicating a price."
6,A_money,p.sarap;;62,Comptes de rentrées en espèces et en nature,Hermopolites,,0128-07-17,πυρου,| εκθεως | Π εμοῦς Φατ ρήο υς εἰς ἀπόδο σιν Παχ | δραχμαὶ 52 πυροῦ ἀρτάβαι 48 1/3 24 | καὶ ὑ π ὲρ τόκο υ 11 ἔτους δραχμαὶ 72 κ αὶ ὑ π ὲρ ἐκφο ρίου | ἀρουρῶν 1/2 1/4 1,True,True,True,BORDER,,,,,,"εἰς ἀπόδοσιν repayment + ἐκφορίου rent — loan/rent mixed with money amounts, ambiguous",πυρου,48.333333,αρταβαι,52,δραχμαι,33.16,no,OTHER,,0.0,,True,medium,πυρου,48.375,artaba,52.0,drachma,"The passage explicitly links 52 drachmas to 48 1/3 24 artabas of wheat for 'ἀπόδοσιν' (payment/delivery), indicating a transactional price. The quantity '48 1/3 24' is interpreted as 48 + 1/3 + 1/24 artabas."
7,A_money,p.mich;2;127,Expense Accounts,Tebtynis (Arsinoites),0045-09-01,0046-01-17,πυρου,| λεπτῆς δαπάνη ς . δραχμαὶ 2 | ὁμ ο ίως ἡμῖν δαπάνης. δραχμαὶ 4 | Μαρσισούχωι ἱερεῖ εἱαιρῖ τιμῆ ς πυροῦ ἀρταβῶν 1 1/2 1/3 . δραχμαὶ 8 | 14 τιμῆ ς φακοῦ Χράτῃ ἀρτάβης 1 1/3 . δραχμαὶ 4 | 16 Εὐτύχῳ υἱῷ ὑει,True,True,True,ME,,,,,,,πυρου,1.833333,αρταβων,0.333333,δραχμαι,36.76,yes,PRICE,priceword_ext,0.6,,True,high,πυρου,1.8333,artaba,8.0,drachma,Explicit τιμῆς (price-of) construction links 1 5/6 artabas of wheat to 8 drachmas.
8,A_money,p.col;4;63,Daily Record of Receipts and Expenditures,Philadelphia? (Arsinoites),-0257-02-23,,σιτου,| εἰς τὸ Ἁρχήβιος πλοῖον κρη σχοινίον | πή χεων 80 πα λαστῆς δα κτύλου χαλ κοῦ δραχμὰς 2 | κάτεργον σίτου ἀρταβῶν 4 τῶν ἀνενεχθεισῶν ἀνενεγχθεισῶν | εἰς τὸ Σαραπιεῖον χαλ κοῦ δραχμὴν 1 | | 2 Σαλῆι Τρωγοδύτ,True,True,True,FP,,,,,,,πυρωνι,,,20,δραχμασ,39.93,no,PRICE,priceword_ext,0.6,,False,high,σιτου,,,,,"The phrase 'κάτεργον σίτου ἀρταβῶν 4 τῶν ἀνενεχθεισῶν ... χαλκοῦ δραχμὴν 1' indicates an expenditure (κάτεργον) of 1 drachma for the 4 artabas of wheat that were transported (ἀνενεχθεισῶν). This is a freight or handling fee, not a sale price for the grain itself."
9,A_money,p.sarap;;74,Comptes d’artabes,Hermopolites,0090,0133,πυρου,2 | Φίβι Χαιρή μονος πυροῦ ἀρτάβης 1/2 | ω ||| | λόγος ἐξαγωγῆ ς | | | Πετεχῶ ν Φατρή ους | Ἁθὺρ 15 πυροῦ ἀρτάβης 1/3 δραχμαὶ 4 2 20 | 6 πυροῦ ἀρτάβης 1/3 δραχμαὶ 4 8 πυροῦ ἀρτάβης 1/3 δραχμαὶ 4 | δι ὰ Εὐτ,True,True,True,ME,,,,,,,πυρου,1,αρταβησ,4,δραχμαι,29.46,no,OTHER,,0.0,,False,high,πυρου,,,,,"The text mentions quantities of wheat (πυροῦ ἀρτάβαι) and the word 'πράσεως' (of sale), indicating a transaction type. However, no monetary amount is associated with these quantities, so it does not constitute a grain price."
10,A_money,p.mich;2;123,Grapheion Register and Grapheion Accounts,Tebtynis (Arsinoites),0045-11-09,0046-12-24,πυρου,ο υρῶν 4 πρὸ ς ἀργ υρίου δραχμὰς 500 . δραχμαὶ 8 | 19 ὁμο λογία Ἰσχυρίωνο ς πρὸ ς Ὀννόφρ ιν ἀποχῆ ς πυροῦ ἀρταβῶν 19 . ὀβολοὶ 14 | ὁμο λογία Τατεφερσῶτος πρὸ ς Ὀρσενοῦφιν περιλύσ εως δραχμῶν 100 . δραχμαὶ,True,True,True,FP,,,,,,"ἀποχῆς πυροῦ ἀρταβῶν 19 — receipt for wheat artabas, grapheion register entry",πυρου,5,αρταβων,100,δραχμων,29.59,no,OTHER,,0.0,,True,high,πυρου,1.833,artaba,16.0,drachma,"The text explicitly states 'πυροῦ ἀρτάβης 1 1/2 1/3 . ἀργυρίου δραχμαὶ 16', directly linking a quantity of wheat to a monetary value. The preceding 'τιμῆς' for beer suggests a context of valuation or pricing."
11,A_money,sb;8;9699,keiner,Hermopolites,,,πυρωι,π τουσι καὶ βωλοκοπ οῦσιν ἐν τοῖς στερείνοις τόποις | ἀρουρῶν 2 πρότερον Οὐλήμιο ς πρὸς τὸ σπαρῆναι πυρῶι ἐργ άται 2 τ ιμῆς 4 | καὶ παῖδ ες 3 τ ιμῆς ὀβολῶν 3 3 χα λκοῦ δραχμαὶ 2 5 | ωρογρα ὑδραγωγο ὺς ἐν τ,True,False,True,FP,,,,,,,πυρου,6,αρταβων,10,δραχμων,46.76,yes,PRICE,"rate_construction,priceword_ext",0.8,,False,high,πυρωι,,,,,"The passage describes agricultural labor ('πυροβολ εῖ' - sowing/spreading wheat, 'βωλοκοποῦσιν' - breaking clods). The drachma amount appears to be a payment for this labor, possibly for 'πυρῶι ἅμα δὲ καὶ τὰς κοιλάδας' (for wheat and also the valleys), rather than a price for a specific quantity of wheat."
12,A_money,p.berl.frisk;;1,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),,,πυρου,"ίας , ἧς ἐποιησάμ εθα ἀπὸ θησ αυρῶν | Π ο λ έ μων ος ἐπὶ Δημητρίῳ στρα τηγῷ γ ενή ματος | 1 7 ἔτους πυροῦ ἀρτάβας 18 1/3 , τιμῆς τειμῆς ὡς τῆς ἀρτάβης ἑκά στης | 8 , τὰς συναγομ ένας ἀργ υρίου δραχμὰς ἑκατ",True,True,True,ME,,,,,,,πυρου,2.083333,αρταβασ,25,δραχμασ,27.63,no,PRICE,priceword_ext,0.6,,True,high,πυρου,12.0,artaba,8.0,drachma,"The phrase 'τιμῆς ... ὡς τῆς ἀρτάβης ἑκάστης 8' explicitly states a valuation rate of 8 drachmas per artaba for 12 artabas of wheat. The total amount 'ἐνενή' (ninety) is incomplete and potentially inconsistent with 12*8=96, indicating damage."
13,A_money,p.cair.goodsp;;30,Accounts,"Karanis (Arsinoites, Ägypten)",0192-05-25,,πυρου,μ ῆς δραχμαὶ 56 ||| | | π Θαι σαρίου | π Ἀρχῆ πυροῦ ἀρτάβης 1 1/3 δραχμαὶ 24 | ἀναλωθεῖσαι ἄλ λα ς πυροῦ ἀρτάβης 2/3 δραχμαὶ 12 | ὁ μοίως ἀδελφῷ ἀδ ε λφο πυροῦ ἀρτάβης 2/3 δραχμαὶ 12 | ἐλαίου ῥαφανί νου δ,True,True,True,TP,,,,,,,πυρου,9,αρταβαι,100,δραχμαι,26.36,no,OTHER,,0.0,,False,high,πυρου,,,,,"The text lists expenditures (ἀναλωθεῖσαι) in both drachmas and wheat. While wheat is mentioned (πυροῦ ἀρτάβαι 9), it is recorded as an expenditure in kind, not linked to any monetary price or valuation. The drachma amounts are separate entries."
14,A_money,p.graux;3;30col3,keiner,Ptolemais Euergetis (Arsinoites),,,κριθ,"μὰς ἑξακοσίας ὀ γδ ο ήκοντα ἑπτὰ 1 , γίνονται δραχμαὶ 687 1 . | εἰσὶ δέ· Πεεῦς Μύσθου ἀρτάβας 6 1/6 κριθ ῆς ἀρτάβης 1/2 1/24 , Ὀν ν ῶφρις καὶ Μύσθ ης ἀρτάβας 6 1/2 1/12 | κριθ ῆς ἀρτάβης 1/2 1/24 , Ἥρων κ",True,True,True,FP,,,,,,"List of persons and their grain contributions (artabas + barley fractions), no price transaction",κριθησ,6.5,αρταβασ,8,δραχμων,37.28,no,PRICE,"rate_construction,priceword_ext",0.8,,False,high,κριθ,,,,,"The text lists a total amount in drachmas, followed by a separate enumeration of individuals and their respective quantities of barley. There is no explicit transactional or rate expression linking the drachmas to the barley as a price."
15,A_money,p.tebt;1;70,Report of the Corps of Crown Land,Kerkeosiris (Arsinoites),,,πυρου,"1/12 , 78 1/12 | ὧν γενισμὸς ἐκ ἐγ μὲν τῆς ὑποθή κης πυροῦ 1663 2/3 38 2/3 vestiges , | κ ριθῆς αἳ πυροῦ 287 7 1/4 , ὀλύ ρας αἳ πυροῦ 97 1/2 1/4 , χα λκοῦ 20 δραχμ ἀρτάβαι 39 1/3 1/12 , | γίνονται εἰς πυρ",True,True,True,FP,,,,,,"Tax: land tax register (p.tebt;1;70), grain quantities in tax assessment",,,,,,,,TAX,,,TAX,False,high,πυρου,,,,,"The passage lists quantities of various grains (wheat, barley, spelt) as 'γενισμὸς' (produce/yield) from a 'ὑποθήκης' (mortgage/pledge), followed by 'χαλκοῦ 20' (20 units of copper). There is no explicit transactional language (e.g., 'price of', 'sold for') linking the copper amount to the grain quantities as a price."
16,A_money,p.cair.zen;3;59355,Draft of a statement concerning a loan,Alexandria (?),-0244-07-06,,σιτου,ῆς Πύθω νος τραπέζης ἀρ γυρίου 20 καὶ τόκος χα λκοῦ 20 | καὶ ἐν τῶι 33 ἔτει καὶ 34 ἔτει καὶ 35 ἔτει σίτου τιμὴν χαλ κοῦ δραχμὰς 32 γίνονται ἀργυ ρίου δραχμαὶ 232 ὀβολὸς 1 1/2 χαλ κοῦ 264 ὀβολὸς 1 1/2 ||| |,True,False,True,ME,,,,,,,σιτου,,,32,δραχμασ,27.09,yes,PRICE,priceword_ext,0.6,,True,high,σιτου,,,32.0,drachma,Explicit τιμὴν (price/valuation) construction links grain (σίτου) to 32 copper drachmas. The quantity unit for the grain is not explicitly stated.
17,A_money,bgu;1;14,keiner,Memphites,,,πυρου,Πρωτίου κεραμίου 1 δραχμαὶ 28 . | ὄξους ὑδρομιγ οῦς κεράμια 3 ἐκ ἑκ άστου δραχμῶν 12 δραχμὶ 36 . | πυροῦ ἀρτάβαι 100 ἐκ ἑκ άστησ δραχμῶν 16 δραχμαὶ 1600 | καὶ ἐγλόγου τοῦ προτέρου μη νὸς ἐλοιπ ογράφησα δρ,True,True,True,TP,,,,,,"πυροῦ ἀρτάβαι 100 ἐκ ἑκάστης δραχμῶν 16 δραχμαὶ 1600 — rate construction, 100 art at 16 dr each",,,,,,,,,,,,True,high,πυρου,1.0,artaba,16.0,drachma,"The phrase 'πυροῦ ἀρτάβαι 100 ἐκ ἑκ άστησ δραχμῶν 16 δραχμαὶ 1600' explicitly states a rate of 16 drachmas for each artaba of wheat, totaling 1600 drachmas for 100 artabas."
18,A_money,p.coll.youtie;1;24,Eingabe eines Frauenvormunds in Sachen einer Mitgiftrückerstattung,Ptolemais Euergetis (Arsinoites),0121,0122,κριθ,ς ἐργ άτῃ 1 δραχμὰς 4 | θε ρ ι σ μ οῦ ἐργ άταις 14 δραχμὰς 20 | πο δραγμ ατ 3 ἐργ άτῃ 1 δραχμὴν 1 | κριθ ῆς ἐρ γ άτῃ 1 δραχμ | ||| | ἀνα | θησ α υρ | μεπ α | ἐξ ὧν | νης ε | ἐξ ὧν | ἀρταβ ῶ ν | ναυβ ι | |,True,True,True,FP,,,,,,Seed/Labor: κριθῆς ἐργάτῃ barley paid to harvest worker,,,,,,,,SEED,,,SEED,False,high,κριθ,,,,,"The passage lists payments to workers (ἐργάτῃ/ἐργάταις) in drachmas. The phrase 'κριθῆς ἐργάτῃ 1 δραχμ' indicates a payment to a worker related to barley, not a price for barley itself. It follows the pattern of payments for labor (e.g., harvesting)."
19,A_money,p.lond;6;1914,Letter from Alexandria,Herakleopolites bzw. Kynopolites,0335-05-23,,σιτου,θῇ ἵ ν α τηρῇ τυ ρῇ αὐτὰ μετʼ αὐτοῦ. ἐγὼ γὰρ ἀγοράζων ἄρτους εἰς δια | τροφὴν ἠγόρασα ἠγώρασα ἀρτάβην σίτου ταλάντων 14 . ἐπὰν οὖν εὕρητε εὕρηται εἰδήμονα εἰδήμωνα ἀπο | στείλατέ ἀπο | στίλατέ μοι ὀλίγα ψω,True,True,True,TP,,,,,,Sale: ἀγοράζων ἄρτους... ἠγόρασα ἀρτάβην σίτου ταλάντων 14 — bought 1 artaba of wheat for 14 talents,σιτου,,,14,ταλαντων,45.6,no,PRICE,sale_verb,0.5,,True,high,σιτου,1.0,artaba,14.0,talent,"The text explicitly states 'ἠγόρασα ἀρτάβην σίτου ταλάντων 14' (I bought an artaba of grain for 14 talents), which is a clear purchase transaction linking a quantity of grain to a monetary value."
20,A_money,upz;1;91,Rechnung,Memphis,,,σιτου,"υ ἐρείου 1/2 δραχμαὶ 220 , Ταλούτει δραχμαὶ 240 τῇ 28 καὶ 29 . | τ ῶ ν ἀναλωμάτων ἀνηλομάτων πάντων σίτου καὶ ὀψωνίων ὀψονίον τοῦ Φαρμοῦθι | γίνονται 2670 ||| | ἔτους 22 Παχὼν 1 σίτου 1/2 145 , | τῇ ἠπητρί",True,False,True,FP,,,,,,Ration: σίτου καὶ ὀψωνίων grain and rations/salary,,,,,,,,RATION,,,RATION,True,high,σιτου,1.0,artaba,250.0,drachma,"The entry 'σίτου ἀρτάβης 1 δραχμαὶ 250' explicitly states 1 artaba of grain (σίτος, commonly wheat) is valued at 250 drachmas within Apollonios' account (λόγος)."
21,A_money,p.louvre;1;61,Aufstellung über Geldbeträge,Soknopaiu Nesos (Arsinoites),0201,0225,πυρου,το ύτο υ τιμ ῆ ς φακὸς | δραχμ- 132 ὀβολ- 12 | λ οιπ ὰ λ υπ ἐ ν αὐ τ ῷ δραχμ- 188 ὀβολ- 8 | τι μῆς πυροῦ ἀρταβ- 20 | υἱο ῦ Καπιτου δραχμ- 315 | ἐν ἐμοὶ δραχμ- 110 | το ύτο υ ἔ λ αβ - | ινο | καὶ Κα π ιτου,True,True,True,TP,,,,,,"τιμῆς πυροῦ ἀρταβ- 20 — price of wheat, 20 artabas with τιμή",,,,,,,,,,,,True,high,πυρου,20.0,artaba,315.0,drachma,"The phrase 'τιμῆς πυροῦ ἀρταβ- 20' explicitly states the price of 20 artabas of wheat, immediately followed by the monetary amount 'δραχμ- 315'."
22,A_money,p.mich;2;123,Grapheion Register and Grapheion Accounts,Tebtynis (Arsinoites),0045-11-09,0046-12-24,κριθη,ῶ ν χλορῶ ν ἀρο υρῶν 4 . ὀβολοὶ 10 | μίσ θωσις Ἰουκούνδο υ πρὸ ς Λαβῆ σιν καὶ ἄλλο ν παραδιο φόρο υ κριθῆ ς ἀρταβῶν 67 καὶ δραχμῶν 60 . δραχμαὶ 4 | ὁμο λογία Ὀρσεῦτο ς πρὸ ς Ἀπολλώνιο ν παραθή κης δραχμῶν,True,True,True,FP,,,,,,"παραδιοφόρου κριθῆς — delivery of barley in contract context, grapheion register",κριθη,5,αρταβων,40,δραχμων,30.79,no,OTHER,,0.0,,True,medium,κριθη,2.0,,4.5,drachma,"The phrase 'καὶ κριθῆ ς' (and of barley) is followed by monetary amounts (4 drachmas, 3 obols), indicating a price or valuation. The number '2' likely represents a quantity, though the unit is unspecified. The text shows signs of damage, particularly with an ambiguous '4' before the obol amount."
23,A_money,p.berl.leihg;2;39r,Compte privé,Theadelphia (Arsinoites),,,πυρου,ὶ κυάμ ου ἀρτάβης 1/5 | 8 φακ οῦ ἀρτάβαι 5 1/5 | γενῶν· | Φαῶ φι 5 κυάμ ου ἀρτάβης 1/5 ὀβολοὶ 4 | 7 πυροῦ ἀρτάβης 1/5 1/10 ὀβολοὶ 8 | 8 καὶ φακ οῦ 1/5 1/10 ὀβολοὶ 9 | 9 φακ οῦ ἀρτάβης 1/4 ὀβολοὶ 8 | ἄρτ ων,True,True,True,FP,,,,,,"Small grain fractions (1/5, 1/10 artaba) with obols — possible small sales but more likely grain tax payments",,,,,,,,,,,,True,high,πυρου,1.0,artaba,22.0,obol,Explicit τιμῆς (price-of) construction links 1 artaba of barley to 22 obols.
24,A_money,bgu;16;2577r,Tax List,Herakleopolis,-0030,0014,πυρων,πόλεμος 4 | υ ἱ ὸς Φομβῶς νεώτερος Πεμσάις 4 | Κύων Κήπαις 4 | Διομήδης 4 | Ἀμμῶνις Παυσιμά χου 4 | Πύρων χαλκεὺς 4 | Πετεχ ῶ ν Ὥρου λίνυφος δ | Πετεχῶν Εὐβούλου 4 | 12 Φιλῶτας 4 | Παχῶς Κωφως 4 | υ ἱ ὸς Ἁ,True,False,True,FP,,,,,,,πυρων,,,4,χαλκευσ,26.01,no,OTHER,,0.0,,,,πυρων,,,,,
25,A_money,p.oxy;24;2421,Account of Wheat,Oxyrhynchites (?),0312,0323,κριθ,άρια 982 . | κλη ρονόμοι Ἀσάμωνος ἁλιέως ἁλιεὺ ς σίτ ου ἀρτάβη 1 1/4 δηνάρια 125 | Π νῆφις Διοδώρου κριθ ῆς ἀρτάβαι 3 1/6 τάλαντον 1 δηνάρια 550 . | Μαξιμᾶς Τίμωνος σίτ ου ἀρτάβης 1/24 δηνάρια 82 κριθ ῆς,True,True,True,ME,,,,,,,κριθ,3.166667,αρταβαι,0.166667,ταλαντον,33.98,no,PRICE,priceword_ext,0.6,,True,high,κριθ,3.167,artaba,2050.0,denarius,"The entry for Pnephis son of Diodorus directly links 3 1/6 artabas of barley to a payment of 1 talent and 550 denarii (equivalent to 2050 denarii), indicating a clear price."
26,A_money,p.louvre;1;50,Aufstellung über Geldbeträge,Soknopaiu Nesos (Arsinoites),0216-08-26,,πυρου,ς ὄψους ὄψος | δραχμὰς 38 · καὶ ἀπὸ ἐκλόγο υ δραχμὰς 128 · | Μεσορὴ 10 ἔλαβον ἐλαβα δραχμὰς 4 · 15 | πυροῦ ἀρτάβην 1 · 20 δραχμὰς 4 · ἕως ἐπαγομ ένων | 3 ἡγουμ δραχμὰς 8 · μ ρος δραχμὰς 4 | ναύλ ου Τιξε δρ,True,True,True,FP,,,,,,"Transport: ναύλου freight payment context, grain receipt separate from money",,,,,,,,TRANSPORT,,,TRANSPORT,True,high,πυρου,1.0,artaba,4.0,drachma,"The text explicitly states 'πυροῦ ἀρτάβην 1 · δραχμὰς 4', linking 1 artaba of wheat to 4 drachmas. The preceding 'ἔλαβον' (I received) suggests a payment received for this quantity, indicating a sale."
27,A_money,sb;26;16460,Fragment eines Tempelinventars (γραφὴ ἱερέων καὶ χειρισμοῦ),Tebtynis (Arsinoites),0107,0108,πυρου,"Κρόνου ἡμέ ρῶ ν 36 ἀντὶ πυροῦ ἀρταβῶν 89 πυροῦ ἀρτάβαι 26 1/2 , βυσσουργῷ βυσορκῷ στ ο λ ισμάτ ων | πυροῦ ἀρτάβαι καὶ εἰς τροφὴν αὐτοῖς πυροῦ ἀρτάβαι 2 , μισθ οῦ αὐτοῖς δραχμαὶ 44 τοῖς ἁγνεύουσι κ ατὰ μῆν",True,True,True,FP,,,,,,,πυρου,44.5,αρταβαι,68,δραχμαι,41.68,yes,PRICE,priceword_ext,0.6,,False,high,πυρου,,,,,"The text mentions drachmas for aromatics (τιμῆς ἀρωμάτων) and quantities of wheat (πυροῦ ἀρτάβαι) distributed to priests and those purifying, but no monetary value is linked to the grain."
28,A_money,p.thomas;;26r,Schedule of Prices and Shipping List,unbekannt,0401,0500,σιτου,| διατύπωσις ὠνίων | τοῦ νο μισματίου 1 δηναρίων μυριάδες 4800 | τῶ ν σίτου ἀρταβῶν 8 ν ο μισματίου 1 |,True,True,True,TP,,,,,,"διατύπωσις ὠνίων — tariff/price list: σίτου ἀρταβῶν 8 νομισματίου 1, explicit price schedule",σιτου,8,αρταβων,1,δηναριων,26.25,no,OTHER,,0.0,,True,high,σιτου,8.0,artaba,1.0,nomisma,"The phrase 'τῶν σίτου ἀρταβῶν 8 νομισματίου 1' explicitly states a rate of 8 artabas of grain for 1 nomisma, within a document titled 'statement of purchases'."
29,A_money,upz;1;99,Rechnung,Memphis,,,σιτου,"κίκιος ἄλλας δραχμαὶ 920 | γίνονται ἕως ἥως Ἐπεὶφ 30 τοῦ παντὸς | λόγου λογον δραχμαὶ 2840 καὶ τοῦ σίτου | ἀρτάβας 3 1/2 . ||| | κῖκι χόες 2 1/2 δραχμαὶ 1320 . τούτων | ἀπέχω παρὰ Τευθρατι δραχμὰς 400 , |",True,True,True,FP,,,,,,"Account summary: δραχμαὶ 2840 καὶ τοῦ σίτου ἀρτάβας 3½ — grain and money listed separately, not a price",σιτου,3.5,αρταβασ,2840,δραχμαι,29.02,no,OTHER,,0.0,,,,σιτου,,,,,
